date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:31	11705/11705	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:31%20GMT	http://ardventures.in/kriti/kriti/account.php?id=15	D:/KRITI/ardventures.in/kriti/kriti/account7429.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Accounts)
11:56:32	11705/11705	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:31%20GMT	http://ardventures.in/kriti/kriti/account.php?id=16	D:/KRITI/ardventures.in/kriti/kriti/account2728.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Accounts)
11:56:33	11704/11704	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:32%20GMT	http://ardventures.in/kriti/kriti/account.php?id=17	D:/KRITI/ardventures.in/kriti/kriti/account190a.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Accounts)
11:56:33	11687/11687	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:32%20GMT	http://ardventures.in/kriti/kriti/account.php?id=18	D:/KRITI/ardventures.in/kriti/kriti/accounte371.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Accounts)
11:56:33	71756/71756	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Aug%202020%2000:40:36%20GMT	http://ardventures.in/kriti/kriti/assets/img/m13.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/m13.jpg	(from http://ardventures.in/kriti/kriti/course-details.php)
11:56:34	11701/11701	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:33%20GMT	http://ardventures.in/kriti/kriti/account.php?id=19	D:/KRITI/ardventures.in/kriti/kriti/accounta9bc.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Accounts)
11:56:34	11712/11712	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:34%20GMT	http://ardventures.in/kriti/kriti/account.php?id=20	D:/KRITI/ardventures.in/kriti/kriti/accounte5cc.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Business%20Studies)
11:56:35	11722/11722	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:34%20GMT	http://ardventures.in/kriti/kriti/account.php?id=21	D:/KRITI/ardventures.in/kriti/kriti/account6258.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Business%20Studies)
11:56:35	11713/11713	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:35%20GMT	http://ardventures.in/kriti/kriti/account.php?id=22	D:/KRITI/ardventures.in/kriti/kriti/account2e5f.html	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Business%20Studies)
11:56:36	12704/12704	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:35%20GMT	http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Economics	D:/KRITI/ardventures.in/kriti/kriti/watch9653.php	(from http://ardventures.in/kriti/kriti/demo12.php)
11:56:36	11652/11652	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:36%20GMT	http://ardventures.in/kriti/kriti/account.php?id=1	D:/KRITI/ardventures.in/kriti/kriti/account681a.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Accounts)
11:56:37	11633/11633	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:36%20GMT	http://ardventures.in/kriti/kriti/account.php?id=2	D:/KRITI/ardventures.in/kriti/kriti/account0b30.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Accounts)
11:56:38	11661/11661	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:37%20GMT	http://ardventures.in/kriti/kriti/account.php?id=3	D:/KRITI/ardventures.in/kriti/kriti/accountd708.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Accounts)
